GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,,Statement_Coverage,Branch_Coverage,Complexity,Rank_Statement,Rank_Branch,Rank_Complex,d^2 of S and B,d^2 of S and C,d^2 of B and C
Apache Commons Configuration,org.apache.commons.configuration2.builder.combined,BaseConfigurationBuilderProvider,6,242,0,18,2,61,0,26,0,17,,0.975806452,1,26,41,133,138,8464,9409,25
Apache Commons Configuration,org.apache.commons.configuration2.builder,FileBasedConfigurationBuilder,0,276,1,39,0,84,1,38,0,19,,1,0.975,39,104.5,101.5,145.5,9,1681,1936
Apache Commons Configuration,org.apache.commons.configuration2.builder,BuilderConfigurationWrapperFactory.EventSourceSupport,0,34,0,0,0,4,0,1,0,1,,1,0.83,1,104,55,4,2401,10000,2601
Apache Commons Configuration,org.apache.commons.configuration2.builder,AutoSaveListener,0,73,0,12,0,22,0,13,0,7,,1,1,13,103.5,130.5,108,729,20.25,506.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,HierarchicalBuilderParametersImpl,0,22,0,0,0,6,0,3,0,3,,1,0.83,3,103,54.5,39,2352.25,4096,240.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,PropertiesBuilderParametersImpl,0,39,0,0,0,10,0,5,0,5,,1,0.83,5,102.5,54,65.5,2352.25,1369,132.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,DefaultParametersManager.DefaultHandlerData,0,47,1,11,0,12,1,8,0,3,,1,0.916666667,9,102,86.5,92,240.25,100,30.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,CopyObjectDefaultHandler,0,33,0,2,0,13,0,4,0,3,,1,1,4,101.5,127,52.5,650.25,2401,5550.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,ConfigurationBuilderEvent,0,28,0,0,0,6,0,3,0,3,,1,0.83,3,101,53.5,38.5,2256.25,3906.25,225
Apache Commons Configuration,org.apache.commons.configuration2.builder,FileBasedBuilderParametersImpl,0,206,0,18,0,65,0,30,0,21,,1,1,30,100.5,125.5,133.5,625,1089,64
Apache Commons Configuration,org.apache.commons.configuration2.builder,DefaultReloadingDetectorFactory,0,20,0,2,0,4,0,3,0,2,,1,1,3,100,125,38,625,3844,7569
Apache Commons Configuration,org.apache.commons.configuration2.builder,ReloadingFileBasedConfigurationBuilder.new ReloadingDetector() {...},0,28,0,6,0,7,0,6,0,3,,1,1,6,99.5,124.5,70.5,625,841,2916
Apache Commons Configuration,org.apache.commons.configuration2.builder,ConfigurationBuilderResultCreatedEvent,0,25,0,2,0,7,0,4,0,3,,1,1,4,99,124,50,625,2401,5476
Apache Commons Configuration,org.apache.commons.configuration2.builder,ReloadingBuilderSupportListener,0,38,0,2,0,14,0,4,0,3,,1,1,4,98.5,123.5,49.5,625,2401,5476
Apache Commons Configuration,org.apache.commons.configuration2.builder,JndiBuilderParametersImpl,0,15,0,0,0,5,0,3,0,3,,1,0.83,3,98,53,37.5,2025,3660.25,240.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,BasicBuilderParameters,6,455,0,46,2,109,0,52,0,29,,0.986984816,1,52,43,122,137,6241,8836,225
Apache Commons Configuration,org.apache.commons.configuration2.builder,BasicConfigurationBuilder.new BeanDeclaration() {...},2,23,0,0,1,6,1,6,1,6,,0.92,0.83,7,31,52.5,73.5,462.25,1806.25,441
Apache Commons Configuration,org.apache.commons.configuration2.builder,ReloadingFileBasedConfigurationBuilder,0,87,0,2,0,27,0,12,0,11,,1,1,12,95.5,120.5,93,625,6.25,756.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,BasicConfigurationBuilder,2,448,1,39,1,135,1,55,0,36,,0.995555556,0.975,56,43,94,135,2601,8464,1681
Apache Commons Configuration,org.apache.commons.configuration2.builder,INIBuilderParametersImpl,13,9,0,0,3,3,1,2,1,2,,0.409090909,0.83,3,9,52,37,1849,784,225
Apache Commons Configuration,org.apache.commons.configuration2.builder,XMLBuilderParametersImpl,0,71,0,0,0,17,0,9,0,9,,1,0.83,9,93,51.5,82.5,1722.25,110.25,961
Apache Commons Configuration,org.apache.commons.configuration2.builder,BuilderConfigurationWrapperFactory.BuilderConfigurationWrapperInvocationHandler,0,47,0,4,0,11,0,6,0,4,,1,1,6,92.5,117,66,600.25,702.25,2601
Apache Commons Configuration,org.apache.commons.configuration2.builder,BuilderConfigurationWrapperFactory,0,71,0,6,0,21,0,9,0,6,,1,1,9,92,116.5,81,600.25,121,1260.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,DatabaseBuilderParametersImpl,0,46,0,0,0,15,0,8,0,8,,1,0.83,8,91.5,51,76,1640.25,240.25,625
Apache Commons Configuration,org.apache.commons.configuration2.builder,DefaultParametersManager,0,93,0,12,0,25,0,12,0,6,,1,1,12,91,115,87.5,576,12.25,756.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,EventListenerParameters,0,26,0,0,0,9,0,5,0,5,,1,0.83,5,90.5,50.5,58,1600,1056.25,56.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.fluent,Parameters,0,185,0,2,0,27,0,17,0,16,,1,1,17,90,113.5,103,552.25,169,110.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.fluent,Configurations,0,251,0,2,0,42,0,39,0,38,,1,1,39,89.5,113,122,552.25,1056.25,81
Apache Commons Configuration,org.apache.commons.configuration2.builder.fluent,Parameters.ParametersIfcInvocationHandler,0,33,0,6,0,8,0,6,0,3,,1,1,6,89,112.5,64.5,552.25,600.25,2304
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,17,0,0,0,3,0,2,0,2,,1,0.83,2,88.5,50,19.5,1482.25,4761,930.25
Apache Commons Configuration,org.apache.commons.configuration2.io,AbsoluteNameLocationStrategy,0,24,0,6,0,6,0,5,0,2,,1,1,5,88,111,56.5,529,992.25,2970.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,25,0,0,0,3,0,2,0,2,,1,0.83,2,87.5,49.5,19,1444,4692.25,930.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,21,0,0,0,4,0,2,0,2,,1,0.83,2,87,49,18.5,1444,4692.25,930.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,21,0,0,0,4,0,2,0,2,,1,0.83,2,86.5,48.5,18,1444,4692.25,930.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new SynchronizerSupport() {...},3,5,0,0,2,3,2,3,2,3,,0.625,0.83,5,14,48,53,1156,1521,25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,17,0,0,0,3,0,2,0,2,,1,0.83,2,85,47.5,17.5,1406.25,4556.25,900
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,17,0,0,0,3,0,2,0,2,,1,0.83,2,84.5,47,17,1406.25,4556.25,900
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandlerListenerAdapter,0,8,0,0,0,6,0,6,0,6,,1,0.83,6,84,46.5,56,1406.25,784,90.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,17,0,0,0,3,0,2,0,2,,1,0.83,2,83.5,46,16.5,1406.25,4489,870.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,23,0,0,0,4,0,2,0,2,,1,0.83,2,83,45.5,16,1406.25,4489,870.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileLocatorUtils,14,504,5,69,2,112,5,56,0,24,,0.972972973,0.932432432,61,37,73,116,1296,6241,1849
Apache Commons Configuration,org.apache.commons.configuration2.io,FileSystemLocationStrategy,0,10,0,0,0,3,0,2,0,2,,1,0.83,2,81.5,45,15.5,1332.25,4356,870.25
Apache Commons Configuration,org.apache.commons.configuration2.io,BasePathLocationStrategy,0,21,0,4,0,8,0,4,0,2,,1,1,4,81,99.5,38,342.25,1849,3782.25
Apache Commons Configuration,org.apache.commons.configuration2.io,DefaultFileSystem,120,178,8,30,20,54,9,20,2,8,,0.597315436,0.789473684,29,12,22,102.5,100,8190.25,6480.25
Apache Commons Configuration,org.apache.commons.configuration2.io,CombinedLocationStrategy,0,53,0,8,0,15,0,7,0,3,,1,1,7,79.5,98,56,342.25,552.25,1764
Apache Commons Configuration,org.apache.commons.configuration2.io,VerifiableOutputStream,0,3,0,0,0,1,0,1,0,1,,1,0.83,1,79,43.5,3.5,1260.25,5700.25,1600
Apache Commons Configuration,org.apache.commons.configuration2.io,FileSystem,4,22,0,2,2,7,1,6,1,5,,0.846153846,1,7,22.5,96.5,54.5,5476,1024,1764
Apache Commons Configuration,org.apache.commons.configuration2.io,DefaultFileSystem.HttpOutputStream,14,50,0,2,5,14,3,6,3,5,,0.78125,1,9,18,96,61.5,6084,1892.25,1190.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.Updater,0,32,1,1,0,9,1,2,0,2,,1,0.5,3,76.5,11,26.5,4290.25,2500,240.25
Apache Commons Configuration,org.apache.commons.configuration2.io,VFSFileSystem,450,95,59,13,108,29,40,6,5,5,,0.174311927,0.180555556,46,4,5,103,1,9801,9604
Apache Commons Configuration,org.apache.commons.configuration2.io,FileLocator.FileLocatorBuilder,0,68,0,2,0,24,0,10,0,9,,1,1,10,75,93.5,63.5,342.25,132.25,900
Apache Commons Configuration,org.apache.commons.configuration2.io,HomeDirectoryLocationStrategy,0,69,0,10,0,24,0,13,0,8,,1,1,13,74.5,93,68.5,342.25,36,600.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileLocator,0,155,0,6,0,37,0,14,0,11,,1,1,14,74,92.5,72.5,342.25,2.25,400
Apache Commons Configuration,org.apache.commons.configuration2.io,ConfigurationLogger,0,91,0,4,0,31,0,18,0,16,,1,1,18,73.5,92,82.5,342.25,81,90.25
Apache Commons Configuration,org.apache.commons.configuration2.io,VFSFileSystem.VFSURLStreamHandler,12,0,0,0,4,0,2,0,2,0,,0,0.83,2,2,41,14,1521,144,729
Apache Commons Configuration,org.apache.commons.configuration2.io,FileUtils,4,109,4,14,2,24,5,8,1,3,,0.96460177,0.777777778,13,31,19,67,144,1296,2304
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler,65,875,4,74,13,285,4,112,0,77,,0.930851064,0.948717949,116,25,68,104,1849,6241,1296
Apache Commons Configuration,org.apache.commons.configuration2.io,ProvidedURLLocationStrategy,0,6,0,0,0,2,0,2,0,2,,1,0.83,2,70,39.5,13.5,930.25,3192.25,676
Apache Commons Configuration,org.apache.commons.configuration2.io,ClasspathLocationStrategy,0,13,0,2,0,3,0,3,0,2,,1,1,3,69.5,87.5,24,324,2070.25,4032.25
Apache Commons Configuration,org.apache.commons.configuration2.sync,NoOpSynchronizer,0,18,0,0,0,6,0,5,0,5,,1,0.83,5,69,39,41.5,900,756.25,6.25
Apache Commons Configuration,org.apache.commons.configuration2.sync,LockMode,0,24,0,0,0,3,0,1,0,1,,1,0.83,1,68.5,38.5,3,900,4290.25,1260.25
Apache Commons Configuration,org.apache.commons.configuration2.sync,ReadWriteSynchronizer,0,38,0,2,0,14,0,8,0,7,,1,1,8,68,85,51.5,289,272.25,1122.25
Apache Commons Configuration,org.apache.commons.configuration2.plist,TokenMgrError,173,0,18,0,37,0,19,0,6,0,,0,0,19,1.5,2.5,78.5,1,5929,5776
Apache Commons Configuration,org.apache.commons.configuration2.plist,XMLPropertyListConfiguration,132,489,14,46,29,100,11,30,1,10,,0.787439614,0.766666667,41,15,17,90,4,5625,5329
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListConfiguration.DateSeparatorParser,0,51,0,2,0,9,0,4,0,3,,1,1,4,65.5,82.5,31.5,289,1156,2601
Apache Commons Configuration,org.apache.commons.configuration2.plist,XMLPropertyListConfiguration.ArrayNodeBuilder,0,18,0,0,0,5,0,3,0,3,,1,0.83,3,65,36,22.5,841,1806.25,182.25
Apache Commons Configuration,org.apache.commons.configuration2.plist,XMLPropertyListConfiguration.new EntityResolver() {...},0,15,0,0,0,3,0,2,0,2,,1,0.83,2,64.5,35.5,12,841,2756.25,552.25
Apache Commons Configuration,org.apache.commons.configuration2.plist,Token,14,20,0,0,5,7,4,3,4,3,,0.588235294,0.83,7,8,35,45,729,1369,100
Apache Commons Configuration,org.apache.commons.configuration2.plist,ParseException,182,189,22,10,34,32,20,5,2,3,,0.509433962,0.3125,25,7,4,80,9,5329,5776
Apache Commons Configuration,org.apache.commons.configuration2.plist,XMLPropertyListConfiguration.XMLPropertyListHandler,12,275,4,38,1,65,4,27,0,10,,0.958188153,0.904761905,31,25,52,82,729,3249,900
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListConfiguration.DateTimeZoneParser,0,70,0,2,0,17,0,4,0,3,,1,1,4,61,77,29,256,1024,2304
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListParserTokenManager,630,1373,153,145,153,257,114,83,7,20,,0.685471792,0.486577181,197,10,6,91,16,6561,7225
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListParser.JJCalls,0,3,0,0,0,1,0,1,0,1,,1,0.83,1,59.5,32.5,2.5,729,3249,900
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListConfiguration.DateComponentParser,0,38,0,4,0,6,0,4,0,2,,1,1,4,59,74.5,27.5,240.25,992.25,2209
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListConfiguration.DateFieldParser,0,73,0,0,0,14,0,4,0,4,,1,0.83,4,58.5,32,27,702.25,992.25,25
Apache Commons Configuration,org.apache.commons.configuration2.plist,XMLPropertyListConfiguration.PListNodeBuilder,35,158,3,5,10,43,2,16,0,14,,0.81865285,0.625,18,13,11.5,67,2.25,2916,3080.25
Apache Commons Configuration,org.apache.commons.configuration2.plist,SimpleCharStream,752,304,40,20,124,70,47,20,24,12,,0.287878788,0.333333333,67,3,4,83,1,6400,6241
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListParser,631,999,92,110,102,212,77,74,11,37,,0.612883436,0.544554455,151,6,7,85,1,6241,6084
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListConfiguration,108,594,21,63,24,120,19,38,1,14,,0.846153846,0.75,57,11,10.5,81.5,0.25,4970.25,5041
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListParserConstants,0,124,0,0,0,1,0,1,0,1,,1,0.83,1,54,27.5,2,702.25,2704,650.25
Apache Commons Configuration,org.apache.commons.configuration2.reloading,CombinedReloadingController,0,63,0,6,0,17,0,9,0,6,,1,1,9,53.5,68,45,210.25,72.25,529
Apache Commons Configuration,org.apache.commons.configuration2.reloading,PeriodicReloadingTrigger,0,106,0,12,0,34,0,16,0,10,,1,1,16,53,67.5,61.5,210.25,72.25,36
Apache Commons Configuration,org.apache.commons.configuration2.reloading,ManagedReloadingDetector,0,22,0,0,0,8,0,4,0,4,,1,0.83,4,52.5,27,25.5,650.25,729,2.25
Apache Commons Configuration,org.apache.commons.configuration2.reloading,VFSFileHandlerReloadingDetector,23,99,0,8,4,27,0,10,0,6,,0.81147541,1,10,10,66,46,3136,1296,400
Apache Commons Configuration,org.apache.commons.configuration2.reloading,CombinedReloadingController.MultiReloadingControllerDetector,0,43,0,6,0,12,0,6,0,3,,1,1,6,51,65.5,35.5,210.25,240.25,900
Apache Commons Configuration,org.apache.commons.configuration2.reloading,PeriodicReloadingTrigger.new Runnable() {...},0,15,0,0,0,3,0,2,0,2,,1,0.83,2,50.5,26.5,9.5,576,1681,289
Apache Commons Configuration,org.apache.commons.configuration2.reloading,FileHandlerReloadingDetector,3,134,0,20,2,37,0,22,0,12,,0.97810219,1,22,20,64,65.5,1936,2070.25,2.25
Apache Commons Configuration,org.apache.commons.configuration2.reloading,ReloadingController,0,85,0,10,0,27,0,12,0,7,,1,1,12,49,63.5,46,210.25,9,306.25
Apache Commons Configuration,org.apache.commons.configuration2.reloading,ReloadingEvent,0,22,0,0,0,6,0,4,0,4,,1,0.83,4,48.5,26,24,506.25,600.25,4
Apache Commons Configuration,org.apache.commons.configuration2.interpol,InterpolatorSpecification.Builder,0,124,0,12,0,37,0,16,0,10,,1,1,16,48,62,55,196,49,49
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ExprLookup,64,107,3,5,18,31,9,10,7,8,,0.625730994,0.625,19,6,9,59,9,2809,2500
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ConstantLookup,0,109,1,7,0,32,1,9,0,6,,1,0.875,10,46.5,38.5,42.5,64,16,16
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ExprLookup.Variable,22,46,1,3,5,18,2,6,1,5,,0.676470588,0.75,8,6,9,38,9,1024,841
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ConfigurationInterpolator,0,311,0,42,0,80,0,47,0,26,,1,1,47,45,58.5,65,182.25,400,42.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ConfigurationInterpolator.new StrLookup() {...},0,18,0,2,0,3,0,3,0,2,,1,1,3,44.5,58,18,182.25,702.25,1600
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ExprLookup.new StrLookup() {...},1,20,1,1,0,3,1,2,0,2,,0.952380952,0.5,3,16,5.5,17.5,110.25,2.25,144
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ExprLookup.Variables,13,7,2,0,3,4,2,2,1,2,,0.35,0,4,3,2,21.5,1,342.25,380.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,SystemPropertiesLookup,0,11,0,0,0,4,0,2,0,2,,1,0.83,2,42,21.5,9,420.25,1089,156.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,EnvironmentLookup,0,6,0,0,0,2,0,2,0,2,,1,0.83,2,41.5,21,8.5,420.25,1089,156.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,DefaultLookups,0,63,0,0,0,10,0,4,0,4,,1,0.83,4,41,20.5,19,420.25,484,2.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,InterpolatorSpecification,0,39,0,0,0,14,0,5,0,5,,1,0.83,5,40.5,20,23,420.25,306.25,9
Apache Commons Configuration,org.apache.commons.configuration2.interpol,DummyLookup,0,16,0,0,0,3,0,2,0,2,,1,0.83,2,40,19.5,8,420.25,1024,132.25
Apache Commons Configuration,org.apache.commons.configuration2.resolver,DefaultEntityResolver,40,25,3,3,12,8,3,4,1,3,,0.384615385,0.5,7,3,4,27.5,1,600.25,552.25
Apache Commons Configuration,org.apache.commons.configuration2.resolver,CatalogResolver,49,140,6,8,7,43,5,14,0,12,,0.740740741,0.571428571,19,5,4,47.5,1,1806.25,1892.25
Apache Commons Configuration,org.apache.commons.configuration2.resolver,CatalogResolver.CatalogManager,8,54,5,3,3,22,4,9,0,9,,0.870967742,0.375,13,6,3,34.5,9,812.25,992.25
Apache Commons Configuration,org.apache.commons.configuration2.resolver,CatalogResolver.Catalog,69,176,8,12,15,42,7,7,0,4,,0.718367347,0.6,14,4,3,37,1,1089,1156
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeUpdateData,3,47,0,4,1,15,1,8,1,6,,0.94,1,9,9,46.5,30.5,1406.25,462.25,256
Apache Commons Configuration,org.apache.commons.configuration2.tree,TrackedNodeModel,0,134,1,7,0,36,1,19,0,16,,1,0.875,20,34.5,26,45,72.25,110.25,361
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultConfigurationKey,2,497,5,83,1,119,5,67,0,28,,0.995991984,0.943181818,72,12,30,53,324,1681,529
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction,4,538,3,41,0,135,3,54,0,35,,0.992619926,0.931818182,57,11,29,52,324,1681,529
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.AddAttributeOperation,0,21,0,0,0,5,0,2,0,2,,1,0.83,2,32,15,7.5,289,600.25,56.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeNameMatchers,0,24,0,0,0,3,0,1,0,1,,1,0.83,1,31.5,14.5,1.5,289,900,169
Apache Commons Configuration,org.apache.commons.configuration2.tree,ImmutableNode,0,318,0,26,0,66,0,32,0,19,,1,1,32,31,41,47,100,256,36
Apache Commons Configuration,org.apache.commons.configuration2.tree,OverrideCombiner,0,147,1,19,0,29,1,13,0,4,,1,0.95,14,30.5,28.5,33.5,4,9,25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeSelector,0,153,0,14,0,36,0,15,0,8,,1,1,15,30,39.5,35.5,90.25,30.25,16
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultExpressionEngine,0,342,1,43,0,73,1,35,0,14,,1,0.977272727,36,29.5,30,45,0.25,240.25,225
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeTracker,8,344,2,26,1,79,2,28,0,16,,0.977272727,0.928571429,30,10,26,44,256,1156,324
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.ChangeNodeValueOperation,0,16,0,0,0,4,0,2,0,2,,1,0.83,2,28,14,6,196,484,64
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultConfigurationKey.KeyIterator,23,372,3,53,5,82,3,46,0,21,,0.941772152,0.946428571,49,9,25,43,256,1156,324
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeNameMatchers.new NodeNameMatchers() {...},0,12,0,0,0,3,0,2,0,2,,1,0.83,2,26.5,13.5,5.5,169,441,64
Apache Commons Configuration,org.apache.commons.configuration2.tree,QueryResult,0,113,0,8,0,27,0,14,0,10,,1,1,14,26,34,31,64,25,9
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeNameMatchers.new NodeNameMatchers() {...},0,12,0,0,0,2,0,2,0,2,,1,0.83,2,25.5,13,5,156.25,420.25,64
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeCombiner,0,31,0,0,0,10,0,6,0,6,,1,0.83,6,25,12.5,20,156.25,25,56.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeTracker.TrackedNodeData,0,95,0,8,0,18,0,13,0,9,,1,1,13,24.5,31.5,27,49,6.25,20.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,TrackedNodeHandler,0,21,0,0,0,7,0,4,0,4,,1,0.83,4,24,12,12.5,144,132.25,0.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ImmutableNode.Builder,0,177,0,24,0,61,0,29,0,17,,1,1,29,23.5,30,36,42.25,156.25,36
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel,2,1059,7,87,0,266,7,97,0,57,,0.998114986,0.925531915,104,9,20,36,121,729,256
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.AddAttributesOperation,0,16,0,0,0,4,0,2,0,2,,1,0.83,2,22,11.5,4.5,110.25,306.25,49
Apache Commons Configuration,org.apache.commons.configuration2.tree,ReferenceTracker,13,133,4,16,2,35,4,12,0,6,,0.910958904,0.8,16,5,3.5,28.5,2.25,552.25,625
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,79,0,8,0,18,0,6,0,2,,1,1,6,20.5,26.5,17.5,36,9,81
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new ConfigurationNodeVisitorAdapter() {...},0,25,0,2,0,5,0,3,0,2,,1,1,3,20,26,8,36,144,324
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,85,0,6,0,20,0,5,0,2,,1,1,5,19.5,25.5,13.5,36,36,144
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,26,0,0,0,5,0,2,0,2,,1,0.83,2,19,10,4,81,225,36
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,88,0,6,0,20,0,5,0,2,,1,1,5,18.5,24,12,30.25,42.25,144
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,65,0,8,0,16,0,6,0,2,,1,1,6,18,23.5,13,30.25,25,110.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,27,0,0,0,3,0,2,0,2,,1,0.83,2,17.5,9.5,3.5,64,196,36
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.Operations,0,149,0,16,0,36,0,15,0,7,,1,1,15,17,22,20,25,9,4
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.ChangeNodeNameOperation,0,16,0,0,0,4,0,2,0,2,,1,0.83,2,16.5,9,3,56.25,182.25,36
Apache Commons Configuration,org.apache.commons.configuration2.tree,ConfigurationNodeVisitorAdapter,1,6,0,0,1,3,1,3,1,3,,0.857142857,0.83,4,4,8.5,7,20.25,9,2.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,AbstractImmutableNodeHandler,0,115,0,14,0,24,0,22,0,15,,1,1,22,15,19.5,22,20.25,49,6.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeAddData,0,38,0,2,0,13,0,7,0,6,,1,1,7,14.5,19,10,20.25,20.25,81
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeCombiner.new AbstractImmutableNodeHandler() {...},4,3,0,0,2,1,2,1,2,1,,0.428571429,0.83,3,3,8,4.5,25,2.25,12.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.Operation,0,6,0,0,0,1,0,1,0,1,,1,0.83,1,13,7.5,1,30.25,144,42.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.RemoveAttributeOperation,0,16,0,0,0,4,0,2,0,2,,1,0.83,2,12.5,7,1.5,30.25,121,30.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,TreeData,13,144,0,10,1,35,1,17,1,12,,0.917197452,1,18,3,15.5,15.5,156.25,156.25,0
Apache Commons Configuration,org.apache.commons.configuration2.tree,MergeCombiner,0,218,1,27,0,47,1,18,0,5,,1,0.964285714,19,11,12,16,1,25,16
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultExpressionEngineSymbols,0,166,0,4,0,45,0,14,0,12,,1,1,14,10.5,14,12.5,12.25,4,2.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.new ConfigurationNodeVisitorAdapter() {...},0,23,0,0,0,5,0,2,0,2,,1,0.83,2,10,6.5,1,12.25,81,30.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeHandlerDecorator,0,86,0,0,0,16,0,16,0,16,,1,0.83,16,9.5,6,12,12.25,6.25,36
Apache Commons Configuration,org.apache.commons.configuration2.tree,TreeUtils,0,113,1,11,0,22,1,7,0,2,,1,0.916666667,8,9,8,6.5,1,6.25,2.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,UnionCombiner,0,119,0,16,0,25,0,11,0,3,,1,1,11,8.5,10.5,9,4,0.25,2.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeTreeWalker,0,123,0,22,0,33,0,18,0,7,,1,1,18,8,10,10,4,4,0
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultExpressionEngineSymbols.Builder,0,66,0,0,0,23,0,9,0,9,,1,0.83,9,7.5,5.5,7,4,0.25,2.25
