GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,Statement_Coverage,Branch_Coverage,Complexity,rank.N,rank.o,rank.p,d^2(Q and R),d^2(Q and S),d^2(R and S)
Apache Commons Configuration,org.apache.commons.configuration2.builder,FileBasedConfigurationBuilder,0,276,1,39,0,84,1,38,0,19,1,0.975,85,103.5,100.5,144,9,1640.25,1892.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,BuilderConfigurationWrapperFactory.EventSourceSupport,0,34,0,0,0,4,0,1,0,1,1,0.83,4,103,54.5,117,2352.25,196,3906.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,AutoSaveListener,0,73,0,12,0,22,0,13,0,7,1,1,22,102.5,129.5,158,729,3080.25,812.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,HierarchicalBuilderParametersImpl,0,22,0,0,0,6,0,3,0,3,1,0.83,6,102,54,116,2304,196,3844
Apache Commons Configuration,org.apache.commons.configuration2.builder,PropertiesBuilderParametersImpl,0,39,0,0,0,10,0,5,0,5,1,0.83,10,101.5,53.5,115,2304,182.25,3782.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,DefaultParametersManager.DefaultHandlerData,0,47,1,11,0,12,1,8,0,3,1,0.916666667,13,101,85.5,130,240.25,841,1980.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,CopyObjectDefaultHandler,0,33,0,2,0,13,0,4,0,3,1,1,13,100.5,126,154,650.25,2862.25,784
Apache Commons Configuration,org.apache.commons.configuration2.builder,ConfigurationBuilderEvent,0,28,0,0,0,6,0,3,0,3,1,0.83,6,100,53,114,2209,196,3721
Apache Commons Configuration,org.apache.commons.configuration2.builder,FileBasedBuilderParametersImpl,0,206,0,18,0,65,0,30,0,21,1,1,65,99.5,124.5,152,625,2756.25,756.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,DefaultReloadingDetectorFactory,0,20,0,2,0,4,0,3,0,2,1,1,4,99,124,151,625,2704,729
Apache Commons Configuration,org.apache.commons.configuration2.builder,ReloadingFileBasedConfigurationBuilder.new ReloadingDetector() {...},0,28,0,6,0,7,0,6,0,3,1,1,7,98.5,123.5,150,625,2652.25,702.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,ConfigurationBuilderResultCreatedEvent,0,25,0,2,0,7,0,4,0,3,1,1,7,98,123,149,625,2601,676
Apache Commons Configuration,org.apache.commons.configuration2.builder,ReloadingBuilderSupportListener,0,38,0,2,0,14,0,4,0,3,1,1,14,97.5,122.5,148,625,2550.25,650.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,JndiBuilderParametersImpl,0,15,0,0,0,5,0,3,0,3,1,0.83,5,97,52.5,113,1980.25,256,3660.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,BasicBuilderParameters,6,455,0,46,2,109,0,52,0,29,0.986984816,1,109,42,121,146,6241,10816,625
Apache Commons Configuration,org.apache.commons.configuration2.builder,BasicConfigurationBuilder.new BeanDeclaration() {...},2,23,0,0,1,6,1,6,1,6,0.92,0.83,7,30,52,111.5,484,6642.25,3540.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,ReloadingFileBasedConfigurationBuilder,0,87,0,2,0,27,0,12,0,11,1,1,27,94.5,119.5,144,625,2450.25,600.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,BasicConfigurationBuilder,2,448,1,39,1,135,1,55,0,36,0.995555556,0.975,136,42,93,130.5,2601,7832.25,1406.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,XMLBuilderParametersImpl,0,71,0,0,0,17,0,9,0,9,1,0.83,17,93,51.5,110,1722.25,289,3422.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,BuilderConfigurationWrapperFactory.BuilderConfigurationWrapperInvocationHandler,0,47,0,4,0,11,0,6,0,4,1,1,11,92.5,117,141,600.25,2352.25,576
Apache Commons Configuration,org.apache.commons.configuration2.builder,BuilderConfigurationWrapperFactory,0,71,0,6,0,21,0,9,0,6,1,1,21,92,116.5,140,600.25,2304,552.25
Apache Commons Configuration,org.apache.commons.configuration2.builder,DatabaseBuilderParametersImpl,0,46,0,0,0,15,0,8,0,8,1,0.83,15,91.5,51,109,1640.25,306.25,3364
Apache Commons Configuration,org.apache.commons.configuration2.builder,DefaultParametersManager,0,93,0,12,0,25,0,12,0,6,1,1,25,91,115,138,576,2209,529
Apache Commons Configuration,org.apache.commons.configuration2.builder,EventListenerParameters,0,26,0,0,0,9,0,5,0,5,1,0.83,9,90.5,50.5,108,1600,306.25,3306.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.fluent,Parameters,0,167,0,2,0,26,0,16,0,15,1,1,26,90,113.5,136,552.25,2116,506.25
Apache Commons Configuration,org.apache.commons.configuration2.builder.fluent,Configurations,0,251,0,2,0,42,0,39,0,38,1,1,42,89.5,113,135,552.25,2070.25,484
Apache Commons Configuration,org.apache.commons.configuration2.builder.fluent,Parameters.ParametersIfcInvocationHandler,0,33,0,6,0,8,0,6,0,3,1,1,8,89,112.5,134,552.25,2025,462.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,17,0,0,0,3,0,2,0,2,1,0.83,3,88.5,50,107,1482.25,342.25,3249
Apache Commons Configuration,org.apache.commons.configuration2.io,AbsoluteNameLocationStrategy,0,24,0,6,0,6,0,5,0,2,1,1,6,88,111,132,529,1936,441
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,25,0,0,0,3,0,2,0,2,1,0.83,3,87.5,49.5,106,1444,342.25,3192.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,21,0,0,0,4,0,2,0,2,1,0.83,4,87,49,105,1444,324,3136
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,21,0,0,0,4,0,2,0,2,1,0.83,4,86.5,48.5,104,1444,306.25,3080.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new SynchronizerSupport() {...},3,5,0,0,2,3,2,3,2,3,0.625,0.83,5,14,48,103,1156,7921,3025
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,17,0,0,0,3,0,2,0,2,1,0.83,3,85,47.5,102,1406.25,289,2970.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,17,0,0,0,3,0,2,0,2,1,0.83,3,84.5,47,101,1406.25,272.25,2916
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandlerListenerAdapter,0,8,0,0,0,6,0,6,0,6,1,0.83,6,84,46.5,99.5,1406.25,240.25,2809
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,17,0,0,0,3,0,2,0,2,1,0.83,3,83.5,46,98,1406.25,210.25,2704
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.new FileHandler.Updater() {...},0,23,0,0,0,4,0,2,0,2,1,0.83,4,83,45.5,97,1406.25,196,2652.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileLocatorUtils,14,504,6,68,2,112,6,55,0,24,0.972972973,0.918918919,118,37,70,109,1089,5184,1521
Apache Commons Configuration,org.apache.commons.configuration2.io,FileSystemLocationStrategy,0,10,0,0,0,3,0,2,0,2,1,0.83,3,81.5,45,96,1332.25,210.25,2601
Apache Commons Configuration,org.apache.commons.configuration2.io,BasePathLocationStrategy,0,21,0,4,0,8,0,4,0,2,1,1,8,81,99.5,120,342.25,1521,420.25
Apache Commons Configuration,org.apache.commons.configuration2.io,DefaultFileSystem,120,178,8,30,20,54,9,20,2,8,0.597315436,0.789473684,63,12,22,62.5,100,2550.25,1640.25
Apache Commons Configuration,org.apache.commons.configuration2.io,CombinedLocationStrategy,0,53,0,8,0,15,0,7,0,3,1,1,15,79.5,98,118,342.25,1482.25,400
Apache Commons Configuration,org.apache.commons.configuration2.io,VerifiableOutputStream,0,3,0,0,0,1,0,1,0,1,1,0.83,1,79,43.5,94,1260.25,225,2550.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileSystem,4,22,0,2,2,7,1,6,1,5,0.846153846,1,8,22.5,96.5,116,5476,8742.25,380.25
Apache Commons Configuration,org.apache.commons.configuration2.io,DefaultFileSystem.HttpOutputStream,14,50,0,2,5,14,3,6,3,5,0.78125,1,17,18,96,115,6084,9409,361
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler.Updater,0,32,1,1,0,9,1,2,0,2,1,0.5,10,76.5,11,39,4290.25,1406.25,784
Apache Commons Configuration,org.apache.commons.configuration2.io,VFSFileSystem,450,95,59,13,108,29,40,6,5,5,0.174311927,0.180555556,69,4,5,16.5,1,156.25,132.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileLocator.FileLocatorBuilder,0,68,0,2,0,24,0,10,0,9,1,1,24,75,93.5,112,342.25,1369,342.25
Apache Commons Configuration,org.apache.commons.configuration2.io,HomeDirectoryLocationStrategy,0,69,0,10,0,24,0,13,0,8,1,1,24,74.5,93,111,342.25,1332.25,324
Apache Commons Configuration,org.apache.commons.configuration2.io,FileLocator,0,155,0,6,0,37,0,14,0,11,1,1,37,74,92.5,110,342.25,1296,306.25
Apache Commons Configuration,org.apache.commons.configuration2.io,ConfigurationLogger,0,91,0,4,0,31,0,18,0,16,1,1,31,73.5,92,109,342.25,1260.25,289
Apache Commons Configuration,org.apache.commons.configuration2.io,VFSFileSystem.VFSURLStreamHandler,12,0,0,0,4,0,2,0,2,0,0,0.83,2,2,41,90.5,1521,7832.25,2450.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileUtils,4,109,4,14,2,24,5,8,1,3,0.96460177,0.777777778,29,31,19,51.5,144,420.25,1056.25
Apache Commons Configuration,org.apache.commons.configuration2.io,FileHandler,65,875,4,74,13,285,4,112,0,77,0.930851064,0.948717949,289,25,68,100.5,1849,5700.25,1056.25
Apache Commons Configuration,org.apache.commons.configuration2.io,ProvidedURLLocationStrategy,0,6,0,0,0,2,0,2,0,2,1,0.83,2,70,39.5,87.5,930.25,306.25,2304
Apache Commons Configuration,org.apache.commons.configuration2.io,ClasspathLocationStrategy,0,13,0,2,0,3,0,3,0,2,1,1,3,69.5,87.5,104,324,1190.25,272.25
Apache Commons Configuration,org.apache.commons.configuration2.sync,NoOpSynchronizer,0,18,0,0,0,6,0,5,0,5,1,0.83,6,69,39,86,900,289,2209
Apache Commons Configuration,org.apache.commons.configuration2.sync,LockMode,0,24,0,0,0,3,0,1,0,1,1,0.83,3,68.5,38.5,84.5,900,256,2116
Apache Commons Configuration,org.apache.commons.configuration2.sync,ReadWriteSynchronizer,0,38,0,2,0,14,0,8,0,7,1,1,14,68,85,101,289,1089,256
Apache Commons Configuration,org.apache.commons.configuration2.plist,TokenMgrError,173,0,18,0,37,0,19,0,6,0,0,0,19,1.5,2.5,6,1,20.25,12.25
Apache Commons Configuration,org.apache.commons.configuration2.plist,XMLPropertyListConfiguration,132,481,14,44,29,98,11,29,1,10,0.784665579,0.75862069,109,15,17,49,4,1156,1024
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListConfiguration.DateSeparatorParser,0,51,0,2,0,9,0,4,0,3,1,1,9,65.5,82.5,98,289,1056.25,240.25
Apache Commons Configuration,org.apache.commons.configuration2.plist,XMLPropertyListConfiguration.ArrayNodeBuilder,0,18,0,0,0,5,0,3,0,3,1,0.83,5,65,36,81,841,256,2025
Apache Commons Configuration,org.apache.commons.configuration2.plist,XMLPropertyListConfiguration.new EntityResolver() {...},0,15,0,0,0,3,0,2,0,2,1,0.83,3,64.5,35.5,80,841,240.25,1980.25
Apache Commons Configuration,org.apache.commons.configuration2.plist,Token,14,20,0,0,5,7,4,3,4,3,0.588235294,0.83,11,8,35,79,729,5041,1936
Apache Commons Configuration,org.apache.commons.configuration2.plist,ParseException,182,189,22,10,34,32,20,5,2,3,0.509433962,0.3125,52,7,4,12.5,9,30.25,72.25
Apache Commons Configuration,org.apache.commons.configuration2.plist,XMLPropertyListConfiguration.XMLPropertyListHandler,12,275,4,38,1,65,4,27,0,10,0.958188153,0.904761905,69,25,52,82,729,3249,900
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListConfiguration.DateTimeZoneParser,0,70,0,2,0,17,0,4,0,3,1,1,17,61,77,92,256,961,225
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListParserTokenManager,630,1373,153,145,153,257,114,83,7,20,0.685471792,0.486577181,371,10,6,17.5,16,56.25,132.25
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListParser.JJCalls,0,3,0,0,0,1,0,1,0,1,1,0.83,1,59.5,32.5,75,729,240.25,1806.25
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListConfiguration.DateComponentParser,0,38,0,4,0,6,0,4,0,2,1,1,6,59,74.5,89,240.25,900,210.25
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListConfiguration.DateFieldParser,0,73,0,0,0,14,0,4,0,4,1,0.83,14,58.5,32,74,702.25,240.25,1764
Apache Commons Configuration,org.apache.commons.configuration2.plist,XMLPropertyListConfiguration.PListNodeBuilder,35,158,3,5,10,43,2,16,0,14,0.81865285,0.625,45,13,11.5,35.5,2.25,506.25,576
Apache Commons Configuration,org.apache.commons.configuration2.plist,SimpleCharStream,752,304,40,20,124,70,47,20,24,12,0.287878788,0.333333333,117,3,4,12,1,81,64
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListParser,631,999,92,110,102,212,77,74,11,37,0.612883436,0.544554455,289,6,7,19,1,169,144
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListConfiguration,108,594,21,63,24,120,19,38,1,14,0.846153846,0.75,139,11,10.5,31.5,0.25,420.25,441
Apache Commons Configuration,org.apache.commons.configuration2.plist,PropertyListParserConstants,0,124,0,0,0,1,0,1,0,1,1,0.83,1,54,27.5,63,702.25,81,1260.25
Apache Commons Configuration,org.apache.commons.configuration2.reloading,CombinedReloadingController,0,63,0,6,0,17,0,9,0,6,1,1,17,53.5,68,82,210.25,812.25,196
Apache Commons Configuration,org.apache.commons.configuration2.reloading,PeriodicReloadingTrigger,0,106,0,12,0,34,0,16,0,10,1,1,34,53,67.5,81,210.25,784,182.25
Apache Commons Configuration,org.apache.commons.configuration2.reloading,ManagedReloadingDetector,0,22,0,0,0,8,0,4,0,4,1,0.83,8,52.5,27,62,650.25,90.25,1225
Apache Commons Configuration,org.apache.commons.configuration2.reloading,VFSFileHandlerReloadingDetector,23,99,0,8,4,27,0,10,0,6,0.81147541,1,27,10,66,79,3136,4761,169
Apache Commons Configuration,org.apache.commons.configuration2.reloading,CombinedReloadingController.MultiReloadingControllerDetector,0,43,0,6,0,12,0,6,0,3,1,1,12,51,65.5,78,210.25,729,156.25
Apache Commons Configuration,org.apache.commons.configuration2.reloading,PeriodicReloadingTrigger.new Runnable() {...},0,15,0,0,0,3,0,2,0,2,1,0.83,3,50.5,26.5,60.5,576,100,1156
Apache Commons Configuration,org.apache.commons.configuration2.reloading,FileHandlerReloadingDetector,3,134,0,20,2,37,0,22,0,12,0.97810219,1,37,20,64,76,1936,3136,144
Apache Commons Configuration,org.apache.commons.configuration2.reloading,ReloadingController,0,85,0,10,0,27,0,12,0,7,1,1,27,49,63.5,75,210.25,676,132.25
Apache Commons Configuration,org.apache.commons.configuration2.reloading,ReloadingEvent,0,22,0,0,0,6,0,4,0,4,1,0.83,6,48.5,26,57.5,506.25,81,992.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,InterpolatorSpecification.Builder,0,124,0,12,0,37,0,16,0,10,1,1,37,48,62,73,196,625,121
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ExprLookup,64,107,3,5,18,31,9,10,7,8,0.625730994,0.625,40,6,9,26,9,400,289
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ConstantLookup,0,109,1,7,0,32,1,9,0,6,1,0.875,33,46.5,38.5,66,64,380.25,756.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ExprLookup.Variable,22,46,1,3,5,18,2,6,1,5,0.676470588,0.75,20,6,9,25.5,9,380.25,272.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ConfigurationInterpolator,0,311,0,42,0,80,0,47,0,26,1,1,80,45,58.5,69,182.25,576,110.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ConfigurationInterpolator.new StrLookup() {...},0,18,0,2,0,3,0,3,0,2,1,1,3,44.5,58,68,182.25,552.25,100
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ExprLookup.new StrLookup() {...},1,20,1,1,0,3,1,2,0,2,0.952380952,0.5,4,16,5.5,14.5,110.25,2.25,81
Apache Commons Configuration,org.apache.commons.configuration2.interpol,ExprLookup.Variables,13,7,2,0,3,4,2,2,1,2,0.35,0,6,3,2,4,1,1,4
Apache Commons Configuration,org.apache.commons.configuration2.interpol,SystemPropertiesLookup,0,11,0,0,0,4,0,2,0,2,1,0.83,4,42,21.5,46,420.25,16,600.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,EnvironmentLookup,0,6,0,0,0,2,0,2,0,2,1,0.83,2,41.5,21,45,420.25,12.25,576
Apache Commons Configuration,org.apache.commons.configuration2.interpol,DefaultLookups,0,63,0,0,0,10,0,4,0,4,1,0.83,10,41,20.5,44,420.25,9,552.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,InterpolatorSpecification,0,39,0,0,0,14,0,5,0,5,1,0.83,14,40.5,20,42.5,420.25,4,506.25
Apache Commons Configuration,org.apache.commons.configuration2.interpol,DummyLookup,0,16,0,0,0,3,0,2,0,2,1,0.83,3,40,19.5,40.5,420.25,0.25,441
Apache Commons Configuration,org.apache.commons.configuration2.resolver,DefaultEntityResolver,40,25,3,3,12,8,3,4,1,3,0.384615385,0.5,11,3,4,10.5,1,56.25,42.25
Apache Commons Configuration,org.apache.commons.configuration2.resolver,CatalogResolver,49,140,6,8,7,43,5,14,0,12,0.740740741,0.571428571,48,5,4,10,1,25,36
Apache Commons Configuration,org.apache.commons.configuration2.resolver,CatalogResolver.CatalogManager,8,54,5,3,3,22,4,9,0,9,0.870967742,0.375,26,6,3,6,9,0,9
Apache Commons Configuration,org.apache.commons.configuration2.resolver,CatalogResolver.Catalog,69,176,8,12,15,42,7,7,0,4,0.718367347,0.6,49,4,3,5.5,1,2.25,6.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeUpdateData,3,47,0,4,1,15,1,8,1,6,0.94,1,16,9,46.5,56,1406.25,2209,90.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,TrackedNodeModel,0,134,1,7,0,36,1,19,0,16,1,0.875,37,34.5,26,44,72.25,90.25,324
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultConfigurationKey,2,497,5,83,1,119,5,67,0,28,0.995991984,0.943181818,124,12,30,49,324,1369,361
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction,4,538,3,41,0,135,3,54,0,35,0.992619926,0.931818182,138,11,29,47,324,1296,324
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.AddAttributeOperation,0,21,0,0,0,5,0,2,0,2,1,0.83,5,32,15,33,289,1,324
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeNameMatchers,0,24,0,0,0,3,0,1,0,1,1,0.83,3,31.5,14.5,32,289,0.25,306.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ImmutableNode,0,272,0,20,0,57,0,27,0,17,1,1,57,31,41,50,100,361,81
Apache Commons Configuration,org.apache.commons.configuration2.tree,OverrideCombiner,0,147,1,19,0,29,1,13,0,4,1,0.95,30,30.5,28.5,44,4,182.25,240.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeSelector,0,153,0,14,0,36,0,15,0,8,1,1,36,30,39.5,48,90.25,324,72.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultExpressionEngine,0,342,1,43,0,73,1,35,0,14,1,0.977272727,74,29.5,30,44.5,0.25,225,210.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeTracker,8,344,2,26,1,79,2,28,0,16,0.977272727,0.928571429,81,10,26,41.5,256,992.25,240.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.ChangeNodeValueOperation,0,16,0,0,0,4,0,2,0,2,1,0.83,4,28,14,30.5,196,6.25,272.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultConfigurationKey.KeyIterator,23,372,3,53,5,82,3,46,0,21,0.941772152,0.946428571,85,9,25,38,256,841,169
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeNameMatchers.new NodeNameMatchers() {...},0,12,0,0,0,3,0,2,0,2,1,0.83,3,26.5,13.5,29,169,6.25,240.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,QueryResult,0,113,0,8,0,27,0,14,0,10,1,1,27,26,34,42,64,256,64
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeNameMatchers.new NodeNameMatchers() {...},0,12,0,0,0,2,0,2,0,2,1,0.83,2,25.5,13,28,156.25,6.25,225
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeCombiner,0,31,0,0,0,10,0,6,0,6,1,0.83,10,25,12.5,27,156.25,4,210.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeTracker.TrackedNodeData,0,95,0,8,0,18,0,13,0,9,1,1,18,24.5,31.5,39,49,210.25,56.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,TrackedNodeHandler,0,21,0,0,0,7,0,4,0,4,1,0.83,7,24,12,25.5,144,2.25,182.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ImmutableNode.Builder,0,177,0,24,0,61,0,29,0,17,1,1,61,23.5,30,37,42.25,182.25,49
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel,2,1059,7,87,0,266,7,97,0,57,0.998114986,0.925531915,273,9,20,30,121,441,100
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.AddAttributesOperation,0,16,0,0,0,4,0,2,0,2,1,0.83,4,22,11.5,24,110.25,4,156.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ReferenceTracker,13,133,4,16,2,35,4,12,0,6,0.910958904,0.8,39,5,3.5,6.5,2.25,2.25,9
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,79,0,8,0,18,0,6,0,2,1,1,18,20.5,26.5,33,36,156.25,42.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new ConfigurationNodeVisitorAdapter() {...},0,25,0,2,0,5,0,3,0,2,1,1,5,20,26,32,36,144,36
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,85,0,6,0,20,0,5,0,2,1,1,20,19.5,25.5,31,36,132.25,30.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,26,0,0,0,5,0,2,0,2,1,0.83,5,19,10,20.5,81,2.25,110.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,88,0,6,0,20,0,5,0,2,1,1,20,18.5,24,29,30.25,110.25,25
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,65,0,8,0,16,0,6,0,2,1,1,16,18,23.5,28,30.25,100,20.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,InMemoryNodeModel.new InMemoryNodeModel.TransactionInitializer() {...},0,27,0,0,0,3,0,2,0,2,1,0.83,3,17.5,9.5,19,64,2.25,90.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.Operations,0,149,0,16,0,36,0,15,0,7,1,1,36,17,22,26,25,81,16
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.ChangeNodeNameOperation,0,16,0,0,0,4,0,2,0,2,1,0.83,4,16.5,9,18,56.25,2.25,81
Apache Commons Configuration,org.apache.commons.configuration2.tree,ConfigurationNodeVisitorAdapter,1,6,0,0,1,3,1,3,1,3,0.857142857,0.83,4,4,8.5,16.5,20.25,156.25,64
Apache Commons Configuration,org.apache.commons.configuration2.tree,AbstractImmutableNodeHandler,0,115,0,14,0,24,0,22,0,15,1,1,24,15,19.5,23,20.25,64,12.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeAddData,0,38,0,2,0,13,0,7,0,6,1,1,13,14.5,19,22,20.25,56.25,9
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeCombiner.new AbstractImmutableNodeHandler() {...},4,3,0,0,2,1,2,1,2,1,0.428571429,0.83,3,3,8,14.5,25,132.25,42.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.Operation,0,6,0,0,0,1,0,1,0,1,1,0.83,1,13,7.5,13,30.25,0,30.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.RemoveAttributeOperation,0,16,0,0,0,4,0,2,0,2,1,0.83,4,12.5,7,11.5,30.25,1,20.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,TreeData,13,144,0,10,1,35,1,17,1,12,0.917197452,1,36,3,15.5,18,156.25,225,6.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,MergeCombiner,0,218,1,27,0,47,1,18,0,5,1,0.964285714,48,11,12,16,1,25,16
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultExpressionEngineSymbols,0,166,0,4,0,45,0,14,0,12,1,1,45,10.5,14,16,12.25,30.25,4
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.new ConfigurationNodeVisitorAdapter() {...},0,23,0,0,0,5,0,2,0,2,1,0.83,5,10,6.5,10,12.25,0,12.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeHandlerDecorator,0,86,0,0,0,16,0,16,0,16,1,0.83,16,9.5,6,9,12.25,0.25,9
Apache Commons Configuration,org.apache.commons.configuration2.tree,TreeUtils,0,113,1,11,0,22,1,7,0,2,1,0.916666667,23,9,8,10,1,1,4
Apache Commons Configuration,org.apache.commons.configuration2.tree,UnionCombiner,0,119,0,16,0,25,0,11,0,3,1,1,25,8.5,10.5,12,4,12.25,2.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,NodeTreeWalker,0,123,0,22,0,33,0,18,0,7,1,1,33,8,10,11,4,9,1
Apache Commons Configuration,org.apache.commons.configuration2.tree,DefaultExpressionEngineSymbols.Builder,0,66,0,0,0,23,0,9,0,9,1,0.83,23,7.5,5.5,8,4,0.25,6.25
Apache Commons Configuration,org.apache.commons.configuration2.tree,ModelTransaction.ChildrenUpdateOperation,0,144,0,10,0,33,0,14,0,9,1,1,33,7,8.5,9,2.25,4,0.25
Apache Commons Configuration,org.apache.commons.configuration2.web,ServletConfiguration,0,26,0,0,0,8,0,4,0,4,1,0.83,8,6.5,5,7,2.25,0.25,4
Apache Commons Configuration,org.apache.commons.configuration2.web,BaseWebConfiguration,0,51,0,8,0,10,0,10,0,6,1,1,10,6,7,7,1,1,0
Apache Commons Configuration,org.apache.commons.configuration2.web,AppletConfiguration,45,0,4,0,9,0,5,0,3,0,0,0,5,1,1.5,2,0.25,1,0.25
Apache Commons Configuration,org.apache.commons.configuration2.web,ServletContextConfiguration,0,29,0,0,0,9,0,4,0,4,1,0.83,9,4.5,3.5,5,1,0.25,2.25
